model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Alabama,1849,1825,1871
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Alaska,30,30,31
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Arizona,4349,4286,4402
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Arkansas,553,543,563
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,California,10445,10319,10558
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Colorado,1937,1926,1947
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Connecticut,4522,4511,4532
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Delaware,624,620,628
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,District of Columbia,607,604,609
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Florida,8190,8058,8305
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Georgia,4264,4212,4309
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Hawaii,30,30,31
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Idaho,242,236,247
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Illinois,8069,8025,8105
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Indiana,3107,3092,3121
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Iowa,969,959,978
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Kansas,417,411,423
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Kentucky,805,796,811
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Louisiana,4263,4232,4290
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Maine,130,129,131
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Maryland,3691,3672,3710
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Massachusetts,8858,8831,8880
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Michigan,6629,6608,6647
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Minnesota,1764,1751,1776
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Mississippi,1858,1840,1874
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Missouri,1385,1373,1397
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Montana,73,71,74
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,National,162347,161409,163137
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Nebraska,385,378,391
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Nevada,955,942,967
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,New Hampshire,429,427,430
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,New Jersey,16168,16127,16205
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,New Mexico,697,692,701
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,New York,33475,33382,33561
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,North Carolina,2236,2207,2262
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,North Dakota,118,116,120
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Ohio,3722,3699,3741
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Oklahoma,629,620,638
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Oregon,366,361,370
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Pennsylvania,7447,7421,7470
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,Rhode Island,1043,1039,1046
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,South Carolina,2142,2106,2173
Auquan,8/3/2020,1 wk ahead cum death,8/8/2020,South Dakota,152,150,154
