model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Alabama,912,839,1088
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Alaska,13,12,17
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Arizona,1595,1349,2039
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Arkansas,266,225,363
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,California,6087,5515,7368
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Colorado,1708,1647,1852
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Connecticut,4355,4260,4551
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Delaware,456,435,507
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,District of Columbia,552,533,601
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Florida,3474,3161,4149
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Georgia,2952,2643,3341
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Hawaii,18,17,22
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Idaho,97,89,115
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Illinois,7051,6647,7881
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Indiana,2652,2540,2885
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Iowa,737,686,867
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Kansas,281,257,339
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Kentucky,560,526,634
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Louisiana,3200,3105,3440
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Maine,107,102,121
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Maryland,3231,3066,3524
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Massachusetts,8085,7857,8580
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Michigan,6213,6090,6513
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Minnesota,1539,1412,1783
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Mississippi,997,938,1104
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Missouri,1015,965,1130
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Montana,21,20,24
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,National,139309,126343,150951
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Nebraska,279,244,359
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Nevada,515,487,582
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,New Hampshire,370,339,403
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,New Jersey,13349,12939,14234
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,New Mexico,495,469,557
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,New York,31837,31125,33511
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,North Carolina,1351,1215,1611
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,North Dakota,83,77,99
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Ohio,2861,2700,3162
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Oklahoma,390,369,440
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Oregon,203,188,239
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Pennsylvania,6695,6423,7329
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Rhode Island,927,894,1003
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,South Carolina,721,653,887
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,South Dakota,93,81,123
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Tennessee,598,526,760
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Texas,2436,2191,3010
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Utah,194,158,282
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Vermont,58,56,63
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Virginia,1725,1611,1994
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Washington,1333,1270,1470
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,West Virginia,93,89,106
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Wisconsin,798,744,927
Auquan,2020-06-22,1 wk ahead cum death,2020-06-27,Wyoming,22,20,27
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Alabama,983,839,1330
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Alaska,15,12,21
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Arizona,1823,1349,2670
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Arkansas,311,225,513
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,California,6558,5515,8890
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Colorado,1753,1647,2006
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Connecticut,4426,4260,4766
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Delaware,472,435,561
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,District of Columbia,567,533,654
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Florida,3765,3161,5061
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Georgia,3180,2643,3857
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Hawaii,19,17,26
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Idaho,102,89,134
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Illinois,7349,6647,8791
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Indiana,2761,2540,3219
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Iowa,775,686,1001
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Kansas,298,257,400
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Kentucky,586,526,715
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Louisiana,3271,3105,3691
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Maine,112,102,135
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Maryland,3354,3066,3865
Auquan,2020-06-22,2 wk ahead cum death,2020-07-04,Massachusetts,8270,7857,9168
