model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Alabama,906,768,1020
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Alaska,14,11,17
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Arizona,1382,1177,1570
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Arkansas,247,188,305
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,California,5915,5062,6699
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Colorado,1828,1633,2015
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Connecticut,4530,4237,4828
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Delaware,492,434,548
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,District of Columbia,571,515,618
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Florida,3622,3057,4145
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Georgia,2802,2377,3154
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Hawaii,22,18,25
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Idaho,107,92,121
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Illinois,7317,6370,8159
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Indiana,2703,2434,2929
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Iowa,955,734,1170
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Kansas,316,261,366
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Kentucky,569,509,623
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Louisiana,3312,3091,3526
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Maine,122,107,136
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Maryland,3377,2981,3744
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Massachusetts,8186,7615,8673
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Michigan,6639,6183,7074
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Minnesota,1548,1319,1772
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Mississippi,1070,910,1226
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Missouri,997,884,1105
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Montana,22,19,25
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,National,133755,121971,144761
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Nebraska,312,228,387
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Nevada,527,467,576
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,New Hampshire,342,308,375
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,New Jersey,13609,12658,14493
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,New Mexico,476,426,523
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,New York,33104,31395,34646
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,North Carolina,1608,1216,1933
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,North Dakota,99,82,118
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Ohio,2822,2531,3091
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Oklahoma,437,377,488
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Oregon,199,177,221
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Pennsylvania,6903,6342,7509
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Rhode Island,1009,854,1148
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,South Carolina,671,595,747
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,South Dakota,108,82,134
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Tennessee,630,498,762
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Texas,2547,2072,2938
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Utah,222,157,279
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Vermont,63,58,68
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Virginia,2104,1672,2507
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Washington,1361,1231,1483
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,West Virginia,108,91,123
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Wisconsin,884,737,1028
Auquan,2020-06-08,1 wk ahead cum death,2020-06-13,Wyoming,27,21,33
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Alabama,1081,831,1289
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Alaska,17,13,22
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Arizona,1667,1285,2016
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Arkansas,343,224,459
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,California,7262,5491,8948
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Colorado,2050,1711,2374
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Connecticut,4871,4361,5391
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Delaware,577,467,682
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,District of Columbia,638,536,723
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Florida,4691,3467,5863
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Georgia,3260,2522,3872
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Hawaii,26,20,31
Auquan,2020-06-08,2 wk ahead cum death,2020-06-20,Idaho,126,99,150
