model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Alabama,1059,875,1224
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Alaska,17,14,21
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Arizona,1788,1396,2123
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Arkansas,314,229,396
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,California,6599,5590,7506
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Colorado,1850,1680,2004
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Connecticut,4567,4321,4795
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Delaware,515,450,572
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,District of Columbia,600,543,648
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Florida,3857,3223,4357
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Georgia,3039,2685,3386
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Hawaii,22,19,26
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Idaho,114,96,132
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Illinois,8020,6932,9087
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Indiana,2980,2595,3295
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Iowa,861,725,985
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Kansas,335,272,386
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Kentucky,632,547,712
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Louisiana,3400,3149,3610
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Maine,126,110,143
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Maryland,3610,3195,3993
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Massachusetts,8701,8055,9306
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Michigan,6565,6178,6895
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Minnesota,1651,1451,1846
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Mississippi,1202,980,1371
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Missouri,1031,939,1118
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Montana,23,20,26
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,National,131430,121498,141008
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Nebraska,347,263,426
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Nevada,577,501,639
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,New Hampshire,383,342,422
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,New Jersey,14280,13153,15293
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,New Mexico,536,475,601
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,New York,33662,31843,35401
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,North Carolina,1615,1291,1922
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,North Dakota,102,85,117
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Ohio,3011,2715,3305
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Oklahoma,435,386,478
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Oregon,219,191,245
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Pennsylvania,7186,6579,7755
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Rhode Island,962,875,1043
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,South Carolina,811,687,927
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,South Dakota,122,93,150
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Tennessee,740,583,910
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Texas,2756,2222,3185
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Utah,257,178,329
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Vermont,63,58,69
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Virginia,1989,1695,2272
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Washington,1423,1297,1547
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,West Virginia,108,94,120
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Wisconsin,890,766,1006
Auquan,2020-06-15,1 wk ahead cum death,2020-06-20,Wyoming,26,20,31
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Alabama,1344,978,1671
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Alaska,22,16,29
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Arizona,2426,1624,3130
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Arkansas,459,283,628
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,California,8027,6035,9772
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Colorado,2044,1742,2315
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Connecticut,4902,4431,5336
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Delaware,595,474,700
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,District of Columbia,678,570,770
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Florida,4737,3500,5694
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Georgia,3602,2910,4284
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Hawaii,27,20,33
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Idaho,136,103,167
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Illinois,9323,7408,11190
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Indiana,3427,2738,3993
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Iowa,1033,784,1261
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Kansas,405,294,496
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Kentucky,756,594,912
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Louisiana,3707,3257,4083
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Maine,148,118,179
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Maryland,4143,3399,4840
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Massachusetts,9678,8447,10826
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Michigan,6976,6300,7556
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Minnesota,1944,1563,2318
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Mississippi,1452,1053,1757
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Missouri,1160,986,1321
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Montana,27,22,32
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,National,145030,126491,163011
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Nebraska,446,299,582
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Nevada,690,540,813
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,New Hampshire,431,359,501
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,New Jersey,15742,13601,17664
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,New Mexico,631,513,757
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,New York,35773,32598,38819
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,North Carolina,2071,1441,2666
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,North Dakota,125,94,154
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Ohio,3382,2846,3919
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Oklahoma,511,411,594
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Oregon,261,207,309
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Pennsylvania,7927,6856,8926
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Rhode Island,1063,909,1209
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,South Carolina,1044,782,1288
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,South Dakota,158,107,206
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Tennessee,969,674,1288
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Texas,3478,2448,4344
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Utah,345,207,470
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Vermont,71,60,81
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Virginia,2335,1813,2839
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Washington,1587,1361,1812
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,West Virginia,125,100,147
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Wisconsin,1055,828,1270
Auquan,2020-06-15,2 wk ahead cum death,2020-06-27,Wyoming,33,23,42
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Alabama,1575,1063,2038
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Alaska,26,17,34
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Arizona,3000,1832,4047
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Arkansas,587,329,841
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,California,9132,6366,11585
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Colorado,2168,1780,2519
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Connecticut,5158,4515,5748
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Delaware,652,491,790
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,District of Columbia,738,590,864
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Florida,5458,3728,6840
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Georgia,4051,3089,4995
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Hawaii,30,21,38
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Idaho,150,108,190
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Illinois,10140,7707,12505
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Indiana,3728,2837,4477
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Iowa,1151,824,1450
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Kansas,449,307,566
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Kentucky,852,630,1065
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Louisiana,3909,3328,4395
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Maine,163,124,206
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Maryland,4491,3533,5391
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Massachusetts,10418,8746,11974
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Michigan,7229,6374,7966
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Minnesota,2165,1646,2673
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Mississippi,1615,1101,2005
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Missouri,1254,1020,1469
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Montana,30,22,36
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,National,154723,130028,178721
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Nebraska,506,321,678
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Nevada,784,573,961
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,New Hampshire,461,370,550
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,New Jersey,16847,13940,19448
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,New Mexico,707,543,879
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,New York,37067,33059,40922
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,North Carolina,2426,1557,3259
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,North Dakota,140,100,179
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Ohio,3639,2937,4347
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Oklahoma,577,435,700
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Oregon,291,219,355
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Pennsylvania,8390,7030,9658
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Rhode Island,1129,930,1316
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,South Carolina,1251,866,1614
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,South Dakota,180,115,241
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Tennessee,1134,736,1559
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Texas,4062,2637,5258
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Utah,398,225,556
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Vermont,75,62,89
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Virginia,2558,1888,3209
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Washington,1693,1402,1985
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,West Virginia,139,104,171
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Wisconsin,1172,872,1455
Auquan,2020-06-15,3 wk ahead cum death,2020-07-04,Wyoming,37,24,48
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Alabama,1759,1130,2327
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Alaska,28,18,39
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Arizona,3480,2008,4841
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Arkansas,694,366,1017
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,California,9959,6610,12930
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Colorado,2248,1805,2654
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Connecticut,5352,4579,6058
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Delaware,693,503,854
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,District of Columbia,783,605,935
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Florida,6041,3915,7791
Auquan,2020-06-15,4 wk ahead cum death,2020-07-11,Georgia,4401,3228,5549
