model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Alabama,997,919,1184
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Alaska,15,14,20
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Arizona,1868,1594,2327
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Arkansas,325,264,435
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,California,6487,5932,7602
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Colorado,1737,1676,1889
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Connecticut,4399,4316,4605
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Delaware,534,507,595
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,District of Columbia,569,550,615
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Florida,3821,3419,4542
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Georgia,2991,2778,3432
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Hawaii,19,18,24
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Idaho,102,91,129
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Illinois,7208,6888,7898
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Indiana,2727,2619,2981
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Iowa,762,706,900
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Kansas,296,269,362
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Kentucky,589,558,661
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Louisiana,3308,3199,3584
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Maine,110,104,125
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Maryland,3296,3168,3565
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Massachusetts,8262,8059,8744
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Michigan,6285,6157,6569
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Minnesota,1536,1460,1707
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Mississippi,1117,1039,1270
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Missouri,1087,1004,1229
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Montana,23,22,28
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,National,130607,132137,156487
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Nebraska,304,267,389
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Nevada,535,500,616
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,New Hampshire,388,367,427
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,New Jersey,15421,14975,16365
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,New Mexico,524,492,602
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,New York,32117,31397,33802
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,North Carolina,1482,1352,1799
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,North Dakota,85,79,102
Auquan,2020-06-29,1 wk ahead cum death,2020-07-04,Ohio,2928,2807,3214
