model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Alabama,2529,2467,2504,2546,2578
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Alaska,46,45,45,48,52
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,American Samoa,0,0,0,0,0
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Arizona,5584,5484,5554,5614,5680
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Arkansas,1394,1281,1334,1430,1530
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,California,15716,15482,15589,15806,16005
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Colorado,2037,2017,2032,2042,2050
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Connecticut,4504,4493,4500,4508,4516
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Delaware,629,624,627,631,634
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,District of Columbia,622,619,619,625,633
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Florida,13972,13798,13921,14025,14176
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Georgia,6925,6747,6863,6968,7093
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Guam,39,33,37,40,46
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Hawaii,144,128,138,152,160
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Idaho,469,441,453,481,502
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Illinois,8818,8761,8797,8837,8872
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Indiana,3566,3542,3558,3574,3589
UGA-CEID,2020-09-21,1 wk ahead cum death,2020-09-26,Iowa,1314,1296,1306,1320,1330
