model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Alabama,2401,2358,2384,2413,2436
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Alaska,47,43,45,48,50
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,American Samoa,0,0,0,0,0
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Arizona,5406,5340,5382,5430,5471
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Arkansas,996,961,983,1005,1024
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,California,14520,14353,14456,14576,14674
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Colorado,1997,1971,1989,2007,2024
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Connecticut,4471,4468,4468,4474,4477
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Delaware,611,608,609,614,618
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,District of Columbia,617,611,614,620,627
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Florida,12509,12132,12397,12641,12944
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Georgia,6377,6129,6311,6446,6543
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Guam,18,15,16,19,21
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Hawaii,106,95,103,110,116
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Idaho,412,384,398,425,444
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Illinois,8555,8461,8521,8585,8643
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Indiana,3434,3397,3423,3446,3470
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Iowa,1230,1212,1222,1235,1245
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Kansas,511,502,507,517,522
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Kentucky,1066,1032,1055,1079,1103
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Louisiana,5172,5051,5132,5203,5283
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Maine,136,134,135,137,138
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Maryland,3844,3821,3835,3852,3872
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Massachusetts,9195,9152,9181,9210,9248
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Michigan,6905,6862,6891,6917,6932
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Minnesota,1940,1903,1910,1977,2075
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Mississippi,2708,2608,2673,2733,2820
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Missouri,1807,1752,1787,1828,1851
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Montana,128,117,124,132,140
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,National,194388,194046,194279,194473,194752
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Nebraska,416,411,414,419,422
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Nevada,1475,1448,1463,1484,1504
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,New Hampshire,432,432,432,434,438
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,New Jersey,16035,15985,16014,16073,16100
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,New Mexico,832,823,828,835,840
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,New York,33084,33017,33059,33109,33145
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,North Carolina,3094,3029,3069,3118,3185
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,North Dakota,169,157,164,173,183
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Northern Mariana Islands,2,2,2,2,2
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Ohio,4274,4256,4256,4364,4636
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Oklahoma,902,877,894,916,932
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Oregon,505,491,501,512,520
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Pennsylvania,7837,7769,7813,7862,7915
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Puerto Rico,498,487,493,505,516
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Rhode Island,1065,1055,1060,1069,1077
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,South Carolina,3056,3032,3047,3062,3079
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,South Dakota,179,173,177,182,186
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Tennessee,1995,1885,1956,2033,2123
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Texas,14574,14188,14435,14706,14965
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Utah,433,423,429,438,447
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Vermont,58,58,58,59,60
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Virgin Islands,18,16,16,20,23
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Virginia,2779,2680,2744,2812,2874
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Washington,2000,1953,1986,2017,2046
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,West Virginia,277,246,264,286,309
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Wisconsin,1219,1200,1211,1224,1237
UGA-CEID,2020-09-07,1 wk ahead cum death,2020-09-12,Wyoming,46,42,42,50,56
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Alabama,2524,2427,2494,2556,2608
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Alaska,51,44,48,54,58
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,American Samoa,0,0,0,0,0
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Arizona,5602,5424,5540,5652,5758
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Arkansas,1109,1039,1081,1133,1170
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,California,15345,14990,15207,15448,15694
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Colorado,2020,1971,2000,2041,2093
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Connecticut,4473,4468,4468,4479,4488
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Delaware,614,608,610,619,628
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,District of Columbia,623,611,617,631,645
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Florida,13283,12371,12965,13508,14210
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Georgia,6755,6291,6608,6936,7145
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Guam,22,16,19,24,29
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Hawaii,129,107,122,136,148
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Idaho,435,384,412,471,514
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Illinois,8719,8508,8650,8791,8907
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Indiana,3505,3417,3480,3531,3587
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Iowa,1292,1261,1280,1307,1331
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Kansas,544,521,534,553,569
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Kentucky,1139,1071,1119,1165,1221
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Louisiana,5315,5095,5239,5383,5542
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Maine,138,134,136,140,142
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Maryland,3894,3832,3872,3914,3959
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Massachusetts,9279,9174,9248,9306,9371
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Michigan,7000,6923,6968,7033,7068
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Minnesota,1977,1903,1928,2078,2260
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Mississippi,2837,2634,2766,2920,3101
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Missouri,1954,1820,1906,1996,2057
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Montana,141,118,131,150,163
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,National,200224,199402,199977,200495,201140
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Nebraska,429,414,425,433,440
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Nevada,1560,1492,1539,1581,1625
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,New Hampshire,433,432,432,437,445
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,New Jersey,16104,15985,16049,16142,16251
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,New Mexico,865,847,856,871,881
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,New York,33181,33020,33128,33231,33318
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,North Carolina,3291,3134,3231,3363,3470
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,North Dakota,183,160,172,193,214
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Northern Mariana Islands,2,2,2,2,2
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Ohio,4358,4256,4267,4537,5010
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Oklahoma,959,896,935,983,1019
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Oregon,533,494,523,545,563
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Pennsylvania,7925,7770,7883,7975,8101
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Puerto Rico,534,507,524,548,568
UGA-CEID,2020-09-07,2 wk ahead cum death,2020-09-19,Rhode Island,1074,1055,1065,1084,1101
