model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Columbia-UNC,7/27/2020,1 wk ahead cum death,8/1/2020,National,153196,152330,154376
Columbia-UNC,7/27/2020,2 wk ahead cum death,8/8/2020,National,160012,158183,162415
Columbia-UNC,7/27/2020,3 wk ahead cum death,8/15/2020,National,166005,163178,169782
Columbia-UNC,7/27/2020,4 wk ahead cum death,8/22/2020,National,171177,167352,176473
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Alabama,1492,1337,1544
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Alaska,26,19,27
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Arizona,3288,2530,3501
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Arkansas,470,457,477
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,California,8662,8318,9139
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Colorado,1820,1799,1837
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Connecticut,4413,4353,4420
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Delaware,543,486,596
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,District of Columbia,583,567,590
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Florida,6373,6234,6788
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Georgia,3690,3614,3780
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Hawaii,25,22,26
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Idaho,196,189,208
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Illinois,7658,7224,7684
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Indiana,2927,2795,2941
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Iowa,875,866,882
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Kansas,381,374,392
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Kentucky,725,667,767
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Louisiana,3724,3665,3815
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Maine,117,106,123
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Maryland,3474,3384,3483
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Massachusetts,8430,8211,8463
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Michigan,6438,6362,6456
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Minnesota,1695,1651,1724
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Mississippi,1611,1239,1635
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Missouri,1268,1201,1281
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Montana,42,24,43
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,National,147075,143411,152177
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Nebraska,339,333,342
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Nevada,771,763,805
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,New Hampshire,420,359,434
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,New Jersey,15780,14402,15842
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,New Mexico,626,565,662
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,New York,32488,32396,32519
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,North Carolina,1962,1941,1968
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,North Dakota,102,87,105
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Ohio,3450,3153,3478
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Oklahoma,547,540,559
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Oregon,300,293,317
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Pennsylvania,7222,6846,7266
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Puerto Rico,219,214,225
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Rhode Island,1033,944,1042
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,South Carolina,1447,1242,1496
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,South Dakota,116,111,119
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Tennessee,1113,1100,1128
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Texas,5108,5014,5274
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Utah,370,346,386
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Vermont,59,56,60
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Virginia,2147,2002,2157
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Washington,1557,1524,1570
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,West Virginia,116,103,119
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Wisconsin,979,954,997
Covid19Sim,7/27/2020,1 wk ahead cum death,8/1/2020,Wyoming,30,21,31
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Alabama,1664,1507,1725
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Alaska,31,23,33
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Arizona,3653,2867,3928
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Arkansas,534,520,542
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,California,9619,9280,10117
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Colorado,1868,1846,1885
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Connecticut,4424,4359,4438
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Delaware,556,496,626
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,District of Columbia,588,572,596
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Florida,7705,7544,8148
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Georgia,4072,3975,4176
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Hawaii,28,25,29
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Idaho,258,246,272
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Illinois,7782,7342,7813
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Indiana,2996,2861,3012
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Iowa,929,916,937
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Kansas,427,414,441
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Kentucky,774,713,830
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Louisiana,3935,3870,4030
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Maine,119,108,125
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Maryland,3535,3444,3544
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Massachusetts,8467,8238,8510
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Michigan,6507,6431,6528
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Minnesota,1753,1703,1782
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Mississippi,1775,1338,1815
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Missouri,1355,1281,1370
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Montana,55,26,57
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,National,153885,150423,159868
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Nebraska,359,351,363
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,Nevada,879,866,914
Covid19Sim,7/27/2020,2 wk ahead cum death,8/8/2020,New Hampshire,428,361,445
