model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Columbia-UNC,7/20/2020,1 wk ahead cum death,7/25/2020,National,146757,144803,148587
Columbia-UNC,7/20/2020,2 wk ahead cum death,8/1/2020,National,153720,149325,158137
Columbia-UNC,7/20/2020,3 wk ahead cum death,8/8/2020,National,160351,153128,167978
Columbia-UNC,7/20/2020,4 wk ahead cum death,8/15/2020,National,166132,156239,177362
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Alabama,1335,1197,1359
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Alaska,22,15,22
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Arizona,2882,2258,3029
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Arkansas,414,405,436
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,California,8192,7601,8345
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Colorado,1797,1756,1813
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Connecticut,4411,4340,4424
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Delaware,543,468,578
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,District of Columbia,579,557,586
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Florida,5662,5251,5915
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Georgia,3409,3317,3557
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Hawaii,23,22,23
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Idaho,160,148,170
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Illinois,7390,7044,7445
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Indiana,2860,2715,2865
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Iowa,830,820,849
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Kansas,352,349,359
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Kentucky,670,621,706
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Louisiana,3551,3476,3643
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Maine,116,106,119
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Maryland,3405,3292,3411
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Massachusetts,8336,8174,8368
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Michigan,6370,6288,6409
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Minnesota,1662,1592,1729
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Mississippi,1460,1148,1478
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Missouri,1199,1106,1213
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Montana,34,29,35
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,National,142100,136808,145181
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Nebraska,320,314,325
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Nevada,685,662,718
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,New Hampshire,415,341,427
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,New Jersey,15651,13220,15737
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,New Mexico,599,534,646
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,New York,32369,32289,32890
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,North Carolina,1799,1786,1839
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,North Dakota,94,84,96
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Ohio,3343,2962,3389
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Oklahoma,500,495,514
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Oregon,271,262,289
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Pennsylvania,7125,6689,7162
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Puerto Rico,195,191,204
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Rhode Island,1017,921,1026
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,South Carolina,1128,1071,1296
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,South Dakota,109,104,112
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Tennessee,947,932,960
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Texas,4247,4169,4366
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Utah,326,313,341
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Vermont,58,57,59
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Virginia,2048,1917,2076
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Washington,1496,1430,1503
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,West Virginia,109,103,112
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Wisconsin,922,904,942
Covid19Sim,7/20/2020,1 wk ahead cum death,7/25/2020,Wyoming,27,22,27
