model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Alabama,2430,2372,2406,2445,2476
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Alaska,46,44,44,49,52
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,American Samoa,0,0,0,0,0
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Arizona,5419,5348,5394,5443,5507
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Arkansas,1053,1015,1041,1067,1098
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,California,14939,14709,14851,15017,15152
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Colorado,2004,1988,1996,2012,2024
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Connecticut,4492,4482,4487,4496,4504
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Delaware,618,613,615,620,624
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,District of Columbia,621,616,616,625,631
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Florida,13381,13104,13259,13475,13683
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Georgia,6612,6456,6561,6657,6746
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Guam,32,27,29,34,37
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Hawaii,111,97,104,116,129
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Idaho,448,415,435,458,478
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Illinois,8670,8596,8635,8701,8752
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Indiana,3510,3481,3499,3520,3532
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Iowa,1276,1254,1269,1281,1295
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Kansas,572,554,565,578,597
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Kentucky,1118,1083,1103,1134,1164
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Louisiana,5372,5251,5329,5411,5484
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Maine,136,135,135,137,138
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Maryland,3877,3853,3870,3884,3897
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Massachusetts,9270,9222,9249,9293,9320
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Michigan,7017,6969,7005,7027,7060
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Minnesota,2009,1958,1972,2034,2169
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Mississippi,2797,2708,2764,2828,2892
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Missouri,1779,1728,1742,1819,1898
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Montana,150,143,146,153,158
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,National,198848,198402,198687,199011,199210
UGA-CEID,2020-09-14,1 wk ahead cum death,2020-09-19,Nebraska,471,453,464,478,493
