model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Alabama,3438,3353,3408,3466,3521
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Alaska,109,104,107,112,115
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Arizona,6449,6382,6425,6471,6514
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Arkansas,2254,2221,2242,2266,2287
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,California,18551,18422,18505,18594,18677
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Colorado,2715,2639,2688,2740,2789
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Connecticut,4807,4776,4796,4818,4838
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Delaware,750,743,747,753,757
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,District of Columbia,666,663,664,667,669
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Florida,17920,17740,17857,17981,18098
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Georgia,9165,9068,9131,9198,9260
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Hawaii,223,222,222,223,223
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Idaho,835,801,823,847,868
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Illinois,11884,11564,11771,11992,12200
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Indiana,5228,5087,5178,5276,5367
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Iowa,2161,2086,2134,2187,2235
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Kansas,1272,1233,1258,1286,1311
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Kentucky,1763,1717,1746,1779,1808
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Louisiana,6224,6178,6208,6240,6270
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Maine,181,173,178,184,188
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Maryland,4406,4359,4389,4422,4452
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Massachusetts,10501,10423,10473,10528,10578
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Michigan,8908,8674,8826,8987,9138
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Minnesota,3293,3147,3241,3342,3437
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Mississippi,3643,3598,3627,3658,3687
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Missouri,3624,3520,3587,3659,3726
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Montana,576,550,566,585,602
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,National,254120,250541,252861,255324,257644
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Nebraska,875,832,860,890,917
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Nevada,1972,1943,1962,1982,2000
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,New Hampshire,512,506,509,514,518
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,New Jersey,16702,16640,16680,16723,16762
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,New Mexico,1320,1272,1303,1336,1367
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,New York,34158,34101,34138,34178,34215
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,North Carolina,4932,4872,4911,4952,4991
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,North Dakota,836,791,820,851,880
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Ohio,5964,5857,5926,6001,6070
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Oklahoma,1609,1572,1596,1622,1645
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Oregon,794,779,789,800,810
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Pennsylvania,9615,9471,9564,9664,9757
BPagano,2020-11-16,1 wk ahead cum death,2020-11-21,Puerto Rico,995,967,985,1004,1022
