model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Alabama,2296,2255,2279,2308,2330
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Alaska,43,38,41,44,47
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,American Samoa,0,0,0,0,0
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Arizona,5262,5183,5234,5282,5331
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Arkansas,871,835,857,882,901
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,California,13652,13481,13584,13687,13809
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Colorado,1970,1942,1952,1986,2023
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Connecticut,4468,4465,4465,4472,4479
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Delaware,608,604,606,610,615
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,District of Columbia,606,605,605,609,614
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Florida,11917,11613,11809,12062,12322
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Georgia,6055,5919,6011,6101,6199
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Guam,14,10,12,15,17
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Hawaii,78,69,75,81,87
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Idaho,410,388,404,420,433
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Illinois,8353,8268,8313,8387,8446
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Indiana,3350,3315,3334,3368,3388
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Iowa,1170,1154,1165,1174,1184
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Kansas,473,462,467,477,483
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Kentucky,973,934,960,985,1010
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Louisiana,5124,5057,5096,5150,5191
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Maine,134,132,133,135,137
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Maryland,3807,3787,3801,3816,3829
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Massachusetts,9153,9113,9140,9168,9188
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Michigan,6770,6755,6765,6777,6787
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Minnesota,1915,1863,1875,1955,2032
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Mississippi,2613,2539,2585,2638,2696
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Missouri,1605,1570,1589,1617,1636
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Montana,119,107,115,123,127
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,National,189195,188624,189019,189387,189584
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Nebraska,408,403,406,410,413
UGA-CEID,2020-08-31,1 wk ahead cum death,2020-09-05,Nevada,1407,1373,1394,1419,1447
