model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Columbia-UNC,2020-07-13,1 wk ahead cum death,2020-07-18,National,140327,136644,144419
Columbia-UNC,2020-07-13,2 wk ahead cum death,2020-07-25,National,148716,143043,155853
Columbia-UNC,2020-07-13,3 wk ahead cum death,2020-08-01,National,158943,151249,168939
Columbia-UNC,2020-07-13,4 wk ahead cum death,2020-08-08,National,168710,159516,182702
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Alabama,1198,1066,1221
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Alaska,19,16,19
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Arizona,2556,1913,2612
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Arkansas,360,348,410
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,California,7454,6721,7564
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Colorado,1773,1715,1788
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Connecticut,4406,4339,4421
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Delaware,538,453,569
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,District of Columbia,572,541,583
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Florida,5095,4384,5302
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Georgia,3282,2861,3420
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Hawaii,21,21,21
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Idaho,133,121,139
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Illinois,7251,6840,7281
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Indiana,2802,2605,2807
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Iowa,815,778,836
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Kansas,325,319,328
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Kentucky,631,579,661
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Louisiana,3460,3310,3487
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Maine,113,105,115
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Maryland,3351,3224,3356
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Massachusetts,8275,8126,8291
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Michigan,6306,6223,6342
Covid19Sim,2020-07-13,1 wk ahead cum death,2020-07-18,Minnesota,1623,1474,1687
