model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Alaska,257,249,254,260,264
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Arkansas,4428,4240,4361,4492,4613
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,California,35311,32926,34472,36114,37660
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Connecticut,6751,6570,6687,6813,6930
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Indiana,9525,9215,9416,9629,9830
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Kansas,3638,3421,3561,3711,3852
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Louisiana,8262,8059,8190,8331,8462
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Massachusetts,13868,13508,13741,13990,14223
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Montana,1112,1076,1099,1124,1147
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,National,405410,400339,403626,407115,410401
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,New Hampshire,964,911,945,982,1016
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,New York,41424,40564,41121,41714,42271
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,North Carolina,8293,7911,8158,8422,8669
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Rhode Island,2070,1998,2044,2095,2141
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,South Carolina,6300,6054,6213,6383,6542
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Tennessee,8737,8278,8575,8891,9188
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Utah,1678,1607,1652,1702,1747
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Vermont,169,161,166,173,178
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Washington,4025,3873,3971,4077,4176
BPagano,2021-01-18,1 wk ahead cum death,2021-01-23,Wyoming,550,521,540,561,580
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Alaska,266,252,261,271,280
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Arkansas,4718,4344,4586,4844,5087
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,California,39333,34370,37587,41003,44220
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Connecticut,7028,6669,6901,7148,7380
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Indiana,9983,9379,9770,10186,10577
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Kansas,3977,3542,3824,4123,4404
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Louisiana,8580,8173,8437,8717,8981
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Massachusetts,14440,13713,14184,14685,15156
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Montana,1163,1095,1139,1187,1231
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,National,428788,418578,425196,432223,438842
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,New Hampshire,1049,942,1011,1085,1154
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,New York,42795,41056,42183,43380,44507
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,North Carolina,8944,8144,8662,9213,9731
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Rhode Island,2178,2037,2128,2225,2317
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,South Carolina,6714,6203,6534,6886,7217
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Tennessee,9468,8541,9141,9780,10380
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Utah,1785,1645,1736,1833,1923
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Vermont,181,165,175,187,198
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Washington,4275,3962,4165,4381,4583
BPagano,2021-01-18,2 wk ahead cum death,2021-01-30,Wyoming,595,536,574,615,652
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Alaska,275,256,268,282,294
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Arkansas,4997,4444,4802,5183,5541
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,California,43461,35852,40784,46021,50953
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Connecticut,7292,6764,7106,7469,7811
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Indiana,10418,9535,10107,10715,11286
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Kansas,4311,3663,4083,4530,4950
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Louisiana,8886,8283,8674,9090,9481
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Massachusetts,15001,13915,14619,15367,16071
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Montana,1211,1112,1176,1245,1309
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,National,451927,436629,446545,457073,466990
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,New Hampshire,1137,973,1079,1192,1297
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,New York,44121,41532,43210,44992,46670
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,North Carolina,9644,8396,9205,10064,10873
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Rhode Island,2278,2073,2205,2347,2480
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,South Carolina,7145,6357,6868,7410,7920
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Tennessee,10195,8802,9705,10664,11567
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Utah,1892,1684,1818,1962,2097
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Vermont,193,169,184,202,217
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Washington,4540,4057,4370,4702,5015
BPagano,2021-01-18,3 wk ahead cum death,2021-02-06,Wyoming,638,552,607,667,722
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Alaska,283,259,274,292,308
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Arkansas,5256,4537,5002,5498,5963
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,California,47577,37329,43972,51024,57666
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Connecticut,7539,6853,7298,7771,8215
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Indiana,10831,9684,10427,11217,11960
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Kansas,4638,3780,4336,4927,5483
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Louisiana,9169,8384,8893,9433,9942
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Massachusetts,15533,14105,15030,16013,16938
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Montana,1258,1129,1212,1302,1385
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,National,474485,454227,467359,481299,494432
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,New Hampshire,1227,1006,1149,1302,1446
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,New York,45349,41973,44161,46484,48673
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,North Carolina,10395,8665,9786,10977,12098
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Rhode Island,2369,2105,2276,2458,2628
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,South Carolina,7581,6514,7206,7940,8632
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Tennessee,10906,9057,10255,11528,12726
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Utah,2002,1723,1903,2095,2276
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Vermont,205,173,194,216,236
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Washington,4825,4160,4591,5049,5480
BPagano,2021-01-18,4 wk ahead cum death,2021-02-13,Wyoming,679,567,639,717,790
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Alabama,6973,6554,6807,7084,7309
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Alaska,235,229,230,239,247
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,American Samoa,0,0,0,0,0
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Arizona,12438,12053,12307,12545,12781
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Arkansas,4579,4513,4553,4597,4645
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,California,37238,36434,36906,37492,37890
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Colorado,5528,5363,5461,5599,5746
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Connecticut,6844,6727,6794,6901,7038
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Delaware,1062,1050,1057,1068,1078
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,District of Columbia,878,856,870,886,903
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Florida,25190,24983,25091,25277,25472
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Georgia,13112,12810,13009,13223,13440
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Guam,126,125,125,127,129
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Hawaii,332,319,326,339,351
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Idaho,1683,1635,1671,1692,1713
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Illinois,20807,20523,20728,20883,21080
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Indiana,9601,9290,9488,9713,9901
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Iowa,4507,4402,4479,4550,4610
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Kansas,3826,3558,3719,3930,4133
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Kentucky,3305,3257,3286,3327,3352
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Louisiana,8334,8112,8286,8403,8503
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Maine,578,542,566,592,624
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Maryland,6829,6778,6818,6850,6881
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Massachusetts,14087,13890,14018,14134,14307
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Michigan,15248,14834,15116,15389,15769
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Minnesota,6178,6084,6151,6214,6281
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Mississippi,5815,5709,5770,5844,5933
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Missouri,6794,6467,6683,6900,7050
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Montana,1126,1088,1102,1156,1181
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,National,418560,414449,416536,420298,422580
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Nebraska,1946,1863,1916,1970,2025
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Nevada,4065,3974,4036,4101,4180
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,New Hampshire,994,946,980,1007,1033
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,New Jersey,20971,20754,20905,21052,21145
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,New Mexico,3099,2969,3067,3133,3212
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,New York,42162,41975,42105,42205,42336
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,North Carolina,8607,8412,8542,8658,8739
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,North Dakota,1445,1403,1426,1462,1514
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Northern Mariana Islands,2,2,2,2,2
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Ohio,10663,10478,10604,10726,10831
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Oklahoma,3166,3133,3156,3181,3200
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Oregon,1979,1817,1927,2034,2175
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Pennsylvania,20719,20221,20561,20897,21123
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Puerto Rico,1791,1772,1784,1798,1809
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Rhode Island,2095,2005,2053,2139,2207
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,South Carolina,6462,6356,6421,6495,6560
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,South Dakota,1702,1650,1689,1717,1743
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Tennessee,9009,8756,8924,9085,9274
UGA-CEID,2021-01-18,1 wk ahead cum death,2021-01-23,Texas,34505,33964,34338,34746,35027
